"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","more_me_in","phase_effect"
"LOC111118914",4.03475992390132,-0.80804197846252,0.274465306173341,-2.03319678630014,0.0420326456206757,1,"not significant","phase2"
"LOC111118917",11.3883459317529,-0.0663786673694835,0.218555425033518,0,1,1,"not significant","phase2"
"LOC111118916",19.5509087677434,-0.491478694458123,0.207814113053018,-1.16199372078506,0.245238015549553,1,"not significant","phase2"
"LOC111118912",13.217141229976,0.343370923782129,0.24203331665011,0.385777152808712,0.699661717399918,1,"not significant","phase2"
"LOC111122078",0.233770791077398,-0.0549350300113758,0.170927095987717,0,1,NA,NA,"phase2"
"LOC111122371",0.262206158232391,0.0899964064945652,0.107466430772161,0,NA,NA,NA,"phase2"
"LOC111121229",10.9765556600339,0.534175290395525,0.267414080789064,1.06267885953127,0.287927611090691,1,"not significant","phase2"
"LOC111121257",0.849941546020597,-0.0944477296635511,0.233702875127506,0,1,NA,NA,"phase2"
"LOC111119151",0.668899961726772,-0.0419012219724748,0.248440116028265,0,1,NA,NA,"phase2"
"LOC111120619",2.19192967469874,-0.711976297563209,0.266275436751014,-1.73495649166915,0.0827485118813453,1,"not significant","phase2"
"LOC111121655",6.72001272359709,-1.14322497629816,0.262941849562564,-3.39704378661725,0.00068118066249466,0.152243878067557,"not significant","phase2"
"LOC111120167",29.3254146940909,0.254846564194452,0.207870156886534,0.0233153439004584,0.981398732378439,1,"not significant","phase2"
"LOC111119239",2.07984579330935,-0.884843043520093,0.281941851897845,-2.25168076057794,0.0243424533370137,0.875745813307108,"not significant","phase2"
"LOC111120168",78.3572820880741,-0.248697882291284,0.148229923404938,0,1,1,"not significant","phase2"
"LOC111118756",5.40980978301307,-0.771633422630102,0.279630910481705,-1.8654354832644,0.0621203875803874,1,"not significant","phase2"
"LOC111118755",6.4238417818256,-0.179615578549075,0.285539515525536,0,1,1,"not significant","phase2"
"LOC111120172",1.2121122339914,-0.0410163998848055,0.180626806281981,0,1,1,"not significant","phase2"
"LOC111120176",0.221107394172981,-0.00369994351371346,0.111292357558498,0,1,NA,NA,"phase2"
"LOC111120180",5.02601609199026,-0.0232004835466227,0.238059787651148,0,1,1,"not significant","phase2"
"LOC111119162",2.26576328626588,0.201177283241022,0.260430231984794,0,1,1,"not significant","phase2"
