"gene_id","Gene.Ontology.IDs"
"LOC111118965","GO:0002098;GO:0002097"
"LOC111119998","GO:0002098;GO:0002097"
"LOC111121289","GO:0002098;GO:0002097"
"LOC111130526","GO:0002098;GO:0002097"
"LOC111136444","GO:0002098;GO:0002097"
"LOC111135888","GO:0002098;GO:0002097"
"LOC111103288","GO:0009966;GO:0010646;GO:0023051;GO:0048583"
"LOC111105774","GO:0009966;GO:0010646;GO:0023051;GO:0048583"
"LOC111106257","GO:0009966;GO:0010646;GO:0023051;GO:0048583"
"LOC111106905","GO:0009966;GO:0010646;GO:0023051;GO:0048583"
"LOC111115172","GO:0009966;GO:0010646;GO:0023051;GO:0048583"
"LOC111118946","GO:0009966;GO:0010646;GO:0023051;GO:0048583"
"LOC111119203","GO:0009966;GO:0010646;GO:0023051;GO:0048583"
"LOC111119487","GO:0009966;GO:0010646;GO:0023051;GO:0048583"
"LOC111122401","GO:0009966;GO:0010646;GO:0023051;GO:0048583"
"LOC111135432","GO:0009966;GO:0010646;GO:0023051;GO:0048583"
"LOC111122791","GO:0009966;GO:0010646;GO:0023051;GO:0048583"
"LOC111100410","GO:0044283"
"LOC111104439","GO:0044283"
"LOC111104443","GO:0044283"
"LOC111108042","GO:0044283"
"LOC111112404","GO:0044283"
"LOC111113806","GO:0044283"
"LOC111113807","GO:0044283"
"LOC111118323","GO:0044283"
"LOC111118902","GO:0044283"
"LOC111120059","GO:0044283"
"LOC111120061","GO:0044283"
"LOC111122371","GO:0044283"
"LOC111122916","GO:0044283"
"LOC111126361","GO:0044283"
"LOC111126462","GO:0044283"
"LOC111131861","GO:0044283"
"LOC111133453","GO:0044283"
"LOC111134518","GO:0044283"
"LOC111135460","GO:0044283"
"LOC111135489","GO:0044283"
"LOC111135490","GO:0044283"
"LOC111135848","GO:0044283"
"LOC111137757","GO:0044283"
"LOC111099219","GO:0006796;GO:0019637;GO:0006793"
"LOC111099500","GO:0006796;GO:0019637;GO:0006793"
"LOC111100351","GO:0006796;GO:0019637;GO:0006793"
"LOC111100388","GO:0006796;GO:0019637;GO:0006793"
"LOC111100609","GO:0006796;GO:0019637;GO:0006793"
"LOC111100887","GO:0006796;GO:0019637;GO:0006793"
"LOC111100889","GO:0006796;GO:0019637;GO:0006793"
"LOC111100890","GO:0006796;GO:0019637;GO:0006793"
"LOC111101119","GO:0006796;GO:0019637;GO:0006793"
"LOC111101121","GO:0006796;GO:0019637;GO:0006793"
"LOC111101122","GO:0006796;GO:0019637;GO:0006793"
"LOC111102230","GO:0006796;GO:0019637;GO:0006793"
"LOC111104850","GO:0006796;GO:0019637;GO:0006793"
"LOC111106127","GO:0006796;GO:0019637;GO:0006793"
"LOC111108193","GO:0006796;GO:0019637;GO:0006793"
"LOC111109680","GO:0006796;GO:0019637;GO:0006793"
"LOC111111031","GO:0006796;GO:0019637;GO:0006793"
"LOC111112578","GO:0006796;GO:0019637;GO:0006793"
"LOC111113173","GO:0006796;GO:0019637;GO:0006793"
"LOC111113806","GO:0006796;GO:0019637;GO:0006793"
"LOC111114331","GO:0006796;GO:0019637;GO:0006793"
"LOC111114744","GO:0006796;GO:0019637;GO:0006793"
"LOC111114942","GO:0006796;GO:0019637;GO:0006793"
"LOC111116763","GO:0006796;GO:0019637;GO:0006793"
"LOC111119138","GO:0006796;GO:0019637;GO:0006793"
"LOC111121542","GO:0006796;GO:0019637;GO:0006793"
"LOC111121919","GO:0006796;GO:0019637;GO:0006793"
"LOC111124518","GO:0006796;GO:0019637;GO:0006793"
"LOC111124952","GO:0006796;GO:0019637;GO:0006793"
"LOC111124953","GO:0006796;GO:0019637;GO:0006793"
"LOC111125442","GO:0006796;GO:0019637;GO:0006793"
"LOC111127085","GO:0006796;GO:0019637;GO:0006793"
"LOC111127219","GO:0006796;GO:0019637;GO:0006793"
"LOC111129030","GO:0006796;GO:0019637;GO:0006793"
"LOC111129252","GO:0006796;GO:0019637;GO:0006793"
"LOC111129253","GO:0006796;GO:0019637;GO:0006793"
"LOC111132237","GO:0006796;GO:0019637;GO:0006793"
"LOC111133242","GO:0006796;GO:0019637;GO:0006793"
"LOC111133439","GO:0006796;GO:0019637;GO:0006793"
"LOC111133678","GO:0006796;GO:0019637;GO:0006793"
"LOC111133759","GO:0006796;GO:0019637;GO:0006793"
"LOC111135040","GO:0006796;GO:0019637;GO:0006793"
"LOC111135041","GO:0006796;GO:0019637;GO:0006793"
"LOC111135321","GO:0006796;GO:0019637;GO:0006793"
"LOC111135380","GO:0006796;GO:0019637;GO:0006793"
"LOC111135460","GO:0006796;GO:0019637;GO:0006793"
"LOC111135489","GO:0006796;GO:0019637;GO:0006793"
"LOC111135490","GO:0006796;GO:0019637;GO:0006793"
"LOC111135848","GO:0006796;GO:0019637;GO:0006793"
