"GO.IDs","GOslim","Term","gene_id"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111125252"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111136638"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111124264"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111123746"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111119711"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111136151"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111132624"
"GO:0000226","GO:0007010","cytoskeleton organization","LOC111133281"
"GO:0000244","GO:0016071;GO:0065003","mRNA metabolic process;protein-containing complex assembly","LOC111135499"
"GO:0000244","GO:0016071;GO:0065003","mRNA metabolic process;protein-containing complex assembly","LOC111119756"
"GO:0000244","GO:0016071;GO:0065003","mRNA metabolic process;protein-containing complex assembly","LOC111133954"
"GO:0000244","GO:0016071;GO:0065003","mRNA metabolic process;protein-containing complex assembly","LOC111125881"
"GO:0000244","GO:0016071;GO:0065003","mRNA metabolic process;protein-containing complex assembly","LOC111125852"
"GO:0000244","GO:0016071;GO:0065003","mRNA metabolic process;protein-containing complex assembly","LOC111119785"
"GO:0000245","GO:0016071;GO:0065003","mRNA metabolic process;protein-containing complex assembly","LOC111110869"
"GO:0000245","GO:0016071;GO:0065003","mRNA metabolic process;protein-containing complex assembly","LOC111131787"
